0.3499999, 0, 0, 5, 0.9712372, 0, 672.4567, -1501.829, -4.456496, 0.008331402, 0.1029945, 36.33662, 1.897572, 1.576823, 9.647517
0.5499998, -0.2522759, -0.04152387, 5.297685, 0.997013, 0.5788504198953566614518, 1688.254, -1509.339, -4.456496, 0.008331402, 0.1029945, 57.60061, 1.897572, 1.569459, 9.717374
 
0.5599998, -0.2543554, -0.04404663, 5.380217, 0.9982694, 0.5651468726790198767039, 1751.883, -1509.719, -4.456496, 0.008331402, 0.1029945, 58.67768, 1.897572, 1.569091, 9.720866
 
0.5699998, -0.2561967, -0.04659018, 5.462958, 0.9996147, 0.5516551676579408428369, 1816.759, -1510.099, -4.456496, 0.008331402, 0.1029945, 59.756, 1.897572, 1.568723, 9.72436
 
0.5799997, -0.2577899, -0.04915215, 5.545735, 1.000873, 0.5383571302557456166426, 1882.888, -1510.48, -4.456496, 0.008331402, 0.1029945, 60.8356, 1.897572, 1.568355, 9.727852
 
0.5899997, -0.2591215, -0.05173004, 5.628723, 1.002221, 0.5252347526352938770787639423, 1950.272, -1510.861, -4.456496, 0.008331402, 0.1029945, 61.91645, 1.897572, 1.567987, 9.731345
 
0.5999997, -0.2601805, -0.05432126, 5.711745, 1.003482, 0.5122718610910026414863, 2018.916, -1511.243, -4.456496, 0.008331402, 0.1029945, 62.99856, 1.897572, 1.567619, 9.734838
 
0.6099997, -0.2609534, -0.05692307, 5.794977, 1.004832, 0.4994526987653759005576, 2088.821, -1511.625, -4.456496, 0.008331402, 0.1029945, 64.08192, 1.897572, 1.56725, 9.738331
 
0.6199997, -0.2614287, -0.0595326, 5.878243, 1.006094, 0.4867634263020913776031, 2159.992, -1512.007, -4.456496, 0.008331402, 0.1029945, 65.16653, 1.897572, 1.566882, 9.741823
 
0.6299997, -0.2615937, -0.06214688, 5.961675, 1.007402, 0.4741917049979227258576, 2232.434, -1512.39, -4.456496, 0.008331402, 0.1029945, 66.2524, 1.897572, 1.566514, 9.745317
 
0.6399997, -0.2614361, -0.06476282, 6.045226, 1.008711, 0.46172594647619114667, 2306.147, -1512.774, -4.456496, 0.008331402, 0.1029945, 67.33949, 1.897572, 1.566146, 9.748809
 
0.6499997, -0.2609439, -0.06737719, 6.128943, 1.010066, 0.4493558962740801491476, 2381.137, -1513.157, -4.456496, 0.008331402, 0.1029945, 68.42784, 1.897572, 1.565778, 9.752302
 
0.6599997, -0.2601048, -0.06998663, 6.212691, 1.011333, 0.4370707163414584827534, 2457.407, -1513.542, -4.456496, 0.008331402, 0.1029945, 69.51743, 1.897572, 1.56541, 9.755795
 
