# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
3.1622,514.65,283.75,24.481
# Event BURNOUT occurred at t=3.1722 seconds
# Event EJECTION_CHARGE occurred at t=3.1722 seconds
3.1722,517.49,283.51,24.476
3.1822,520.32,283.26,24.443
3.1922,523.15,283.02,24.411
3.2022,525.98,282.78,24.38
3.2122,528.81,282.53,24.349
3.2222,531.63,282.29,24.318
3.2322,534.45,282.05,24.288
3.2422,537.27,281.8,24.257
3.2522,540.09,281.56,24.227
3.2622,542.9,281.32,24.196
3.2722,545.71,281.08,24.165
3.2822,548.52,280.84,24.133
3.2922,551.33,280.59,24.102
3.3022,554.13,280.35,24.071
3.3122,556.93,280.11,24.04
3.3222,559.73,279.87,24.009
3.3322,562.53,279.63,23.978
3.3422,565.32,279.39,23.946
3.3522,568.12,279.15,23.915
3.3622,570.9,278.92,23.884
3.3722,573.69,278.68,23.852
3.3822,576.48,278.44,23.821
3.3922,579.26,278.2,23.79
3.4022,582.04,277.96,23.76
3.4122,584.82,277.73,23.729
3.4222,587.59,277.49,23.699
3.4322,590.37,277.25,23.67
3.4422,593.14,277.01,23.64
3.4522,595.9,276.78,23.611
3.4622,598.67,276.54,23.582
3.4722,601.43,276.31,23.553
3.4822,604.2,276.07,23.525
3.4922,606.95,275.84,23.497
3.5022,609.71,275.6,23.469
3.5122,612.47,275.37,23.44
3.5222,615.22,275.13,23.412
3.5322,617.97,274.9,23.383
3.5422,620.71,274.67,23.355
3.5522,623.46,274.43,23.326
3.5622,626.2,274.2,23.298
3.5722,628.94,273.97,23.269
3.5822,631.68,273.73,23.241
3.5922,634.41,273.5,23.212
3.6022,637.15,273.27,23.183
3.6122,639.88,273.04,23.155
3.6222,642.61,272.81,23.127
3.6322,645.33,272.58,23.098
3.6422,648.06,272.34,23.07
3.6522,650.78,272.11,23.041
3.6622,653.5,271.88,23.013
3.6722,656.22,271.65,22.984
3.6822,658.93,271.42,22.955
3.6922,661.64,271.19,22.927
3.7022,664.35,270.97,22.898
3.7122,667.06,270.74,22.869
3.7222,669.77,270.51,22.84
3.7322,672.47,270.28,22.811
3.7422,675.17,270.05,22.783
3.7522,677.87,269.82,22.754
3.7622,680.57,269.6,22.726
3.7722,683.26,269.37,22.699
3.7822,685.95,269.14,22.671
3.7922,688.64,268.92,22.644
3.8022,691.33,268.69,22.617
3.8122,694.01,268.46,22.59
3.8222,696.7,268.24,22.563
3.8322,699.38,268.01,22.536
3.8422,702.06,267.79,22.51
3.8522,704.73,267.56,22.483
3.8622,707.41,267.34,22.457
3.8722,710.08,267.11,22.43
3.8822,712.75,266.89,22.403
3.8922,715.41,266.67,22.377
3.9022,718.08,266.44,22.35
3.9122,720.74,266.22,22.324
3.9222,723.4,266,22.298
3.9322,726.06,265.77,22.272
3.9422,728.72,265.55,22.246
3.9522,731.37,265.33,22.221
