# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
14.402,2588.7,107.72,11.365
14.412,2589.7,107.6,11.361
14.422,2590.8,107.49,11.358
14.432,2591.9,107.38,11.354
14.442,2593,107.26,11.351
14.452,2594,107.15,11.347
14.462,2595.1,107.04,11.344
14.472,2596.2,106.92,11.341
14.482,2597.2,106.81,11.337
14.492,2598.3,106.7,11.334
14.502,2599.4,106.58,11.331
14.512,2600.4,106.47,11.327
14.522,2601.5,106.36,11.324
14.532,2602.6,106.24,11.32
14.542,2603.6,106.13,11.317
14.552,2604.7,106.02,11.313
14.562,2605.7,105.9,11.31
14.572,2606.8,105.79,11.306
14.582,2607.9,105.68,11.303
14.592,2608.9,105.56,11.3
14.602,2610,105.45,11.296
14.612,2611,105.34,11.293
14.622,2612.1,105.23,11.289
14.632,2613.1,105.11,11.286
14.642,2614.2,105,11.283
14.652,2615.2,104.89,11.279
14.662,2616.3,104.77,11.276
14.672,2617.3,104.66,11.273
14.682,2618.4,104.55,11.27
14.692,2619.4,104.44,11.267
14.702,2620.5,104.32,11.264
14.712,2621.5,104.21,11.261
14.722,2622.5,104.1,11.258
14.732,2623.6,103.99,11.255
14.742,2624.6,103.87,11.251
14.752,2625.6,103.76,11.248
14.762,2626.7,103.65,11.245
14.772,2627.7,103.54,11.242
14.782,2628.8,103.42,11.239
14.792,2629.8,103.31,11.235
14.802,2630.8,103.2,11.232
14.812,2631.9,103.09,11.229
14.822,2632.9,102.98,11.225
14.832,2633.9,102.86,11.222
14.842,2634.9,102.75,11.219
14.852,2636,102.64,11.216
14.862,2637,102.53,11.212
14.872,2638,102.41,11.209
14.882,2639,102.3,11.206
14.892,2640.1,102.19,11.203
14.902,2641.1,102.08,11.199
14.912,2642.1,101.97,11.196
14.922,2643.1,101.86,11.192
14.932,2644.1,101.74,11.189
14.942,2645.1,101.63,11.185
14.952,2646.2,101.52,11.182
14.962,2647.2,101.41,11.179
14.972,2648.2,101.3,11.176
14.982,2649.2,101.18,11.172
14.992,2650.2,101.07,11.169
15.002,2651.2,100.96,11.166
15.012,2652.2,100.85,11.163
15.022,2653.2,100.74,11.16
15.032,2654.2,100.63,11.156
15.042,2655.2,100.52,11.153
15.052,2656.3,100.4,11.15
15.062,2657.3,100.29,11.147
15.072,2658.3,100.18,11.144
15.082,2659.3,100.07,11.141
15.092,2660.3,99.958,11.139
15.102,2661.3,99.847,11.136
15.112,2662.3,99.736,11.132
15.122,2663.2,99.624,11.129
15.132,2664.2,99.513,11.125
15.142,2665.2,99.402,11.122
15.152,2666.2,99.291,11.118
15.162,2667.2,99.18,11.115
15.172,2668.2,99.069,11.112
15.182,2669.2,98.958,11.109
15.192,2670.2,98.847,11.106
15.202,2671.2,98.736,11.103
15.212,2672.2,98.625,11.1
15.222,2673.2,98.514,11.096
15.232,2674.1,98.403,11.093
15.242,2675.1,98.292,11.09
15.252,2676.1,98.181,11.087
15.262,2677.1,98.07,11.084
15.272,2678.1,97.96,11.081
15.282,2679,97.849,11.078
15.292,2680,97.738,11.075
15.302,2681,97.627,11.072
15.312,2682,97.517,11.069
15.322,2682.9,97.406,11.066
15.332,2683.9,97.296,11.062
15.342,2684.9,97.185,11.059
15.352,2685.9,97.075,11.056
15.362,2686.8,96.964,11.053
15.372,2687.8,96.854,11.05
15.382,2688.8,96.743,11.047
15.392,2689.7,96.633,11.044
15.402,2690.7,96.522,11.041
15.412,2691.7,96.412,11.038
15.422,2692.6,96.302,11.035
15.432,2693.6,96.191,11.031
15.442,2694.5,96.081,11.028
15.452,2695.5,95.971,11.025
15.462,2696.5,95.861,11.022
15.472,2697.4,95.751,11.019
15.482,2698.4,95.641,11.016
15.492,2699.3,95.53,11.013
15.502,2700.3,95.42,11.01
15.512,2701.2,95.31,11.007
15.522,2702.2,95.2,11.004
15.532,2703.1,95.09,11.001
15.542,2704.1,94.98,10.998
15.552,2705,94.871,10.995
15.562,2706,94.761,10.992
15.572,2706.9,94.651,10.989
15.582,2707.9,94.541,10.986
15.592,2708.8,94.431,10.983
15.602,2709.8,94.321,10.98
15.612,2710.7,94.212,10.977
15.622,2711.6,94.102,10.974
15.632,2712.6,93.992,10.971
15.642,2713.5,93.883,10.968
15.652,2714.5,93.773,10.966
15.662,2715.4,93.663,10.963
15.672,2716.3,93.554,10.96
15.682,2717.3,93.444,10.957
15.692,2718.2,93.335,10.954
15.702,2719.1,93.225,10.951
15.712,2720.1,93.116,10.948
15.722,2721,93.007,10.945
15.732,2721.9,92.897,10.942
15.742,2722.8,92.788,10.94
15.752,2723.8,92.678,10.937
15.762,2724.7,92.569,10.934
15.772,2725.6,92.46,10.931
15.782,2726.5,92.351,10.928
15.792,2727.5,92.241,10.925
15.802,2728.4,92.132,10.922
15.812,2729.3,92.023,10.919
15.822,2730.2,91.914,10.916
15.832,2731.1,91.805,10.913
15.842,2732.1,91.696,10.91
15.852,2733,91.587,10.908
15.862,2733.9,91.478,10.905
15.872,2734.8,91.369,10.902
15.882,2735.7,91.26,10.899
15.892,2736.6,91.151,10.896
15.902,2737.5,91.042,10.893
15.912,2738.5,90.933,10.891
15.922,2739.4,90.824,10.888
15.932,2740.3,90.715,10.885
15.942,2741.2,90.607,10.883
15.952,2742.1,90.498,10.88
15.962,2743,90.389,10.877
15.972,2743.9,90.28,10.874
15.982,2744.8,90.172,10.872
15.992,2745.7,90.063,10.869
16.002,2746.6,89.954,10.866
16.012,2747.5,89.846,10.863
16.022,2748.4,89.737,10.86
16.032,2749.3,89.629,10.858
16.042,2750.2,89.52,10.855
16.052,2751.1,89.412,10.852
16.062,2752,89.303,10.85
16.072,2752.9,89.195,10.847
16.082,2753.7,89.086,10.845
16.092,2754.6,88.978,10.842
16.102,2755.5,88.87,10.839
16.112,2756.4,88.761,10.837
16.122,2757.3,88.653,10.834
16.132,2758.2,88.545,10.831
16.142,2759.1,88.436,10.829
16.152,2759.9,88.328,10.826
16.162,2760.8,88.22,10.824
16.172,2761.7,88.112,10.821
16.182,2762.6,88.004,10.818
16.192,2763.5,87.896,10.816
16.202,2764.3,87.787,10.813
16.212,2765.2,87.679,10.811
16.222,2766.1,87.571,10.808
16.232,2767,87.463,10.805
16.242,2767.8,87.355,10.803
16.252,2768.7,87.247,10.8
16.262,2769.6,87.139,10.798
16.272,2770.5,87.032,10.795
16.282,2771.3,86.924,10.793
16.292,2772.2,86.816,10.79
16.302,2773.1,86.708,10.787
16.312,2773.9,86.6,10.785
16.322,2774.8,86.492,10.783
16.332,2775.7,86.385,10.78
16.342,2776.5,86.277,10.778
16.352,2777.4,86.169,10.775
16.362,2778.2,86.062,10.773
16.372,2779.1,85.954,10.77
16.382,2780,85.846,10.767
16.392,2780.8,85.739,10.765
16.402,2781.7,85.631,10.762
16.412,2782.5,85.524,10.76
16.422,2783.4,85.416,10.757
16.432,2784.2,85.309,10.755
16.442,2785.1,85.201,10.753
16.452,2785.9,85.094,10.75
16.462,2786.8,84.986,10.748
16.472,2787.6,84.879,10.746
16.482,2788.5,84.771,10.743
16.492,2789.3,84.664,10.741
16.502,2790.2,84.557,10.738
16.512,2791,84.449,10.736
16.522,2791.9,84.342,10.733
16.532,2792.7,84.235,10.731
16.542,2793.5,84.128,10.728
16.552,2794.4,84.02,10.726
16.562,2795.2,83.913,10.723
16.572,2796.1,83.806,10.721
16.582,2796.9,83.699,10.718
16.592,2797.7,83.592,10.716
16.602,2798.6,83.485,10.713
16.612,2799.4,83.378,10.711
16.622,2800.2,83.271,10.708
16.632,2801.1,83.164,10.705
16.642,2801.9,83.057,10.703
16.652,2802.7,82.95,10.701
16.662,2803.6,82.843,10.698
16.672,2804.4,82.736,10.696
16.682,2805.2,82.629,10.694
16.692,2806,82.522,10.691
16.702,2806.9,82.415,10.689
16.712,2807.7,82.309,10.687
16.722,2808.5,82.202,10.684
16.732,2809.3,82.095,10.682
16.742,2810.1,81.988,10.68
16.752,2811,81.882,10.677
16.762,2811.8,81.775,10.675
16.772,2812.6,81.668,10.672
16.782,2813.4,81.562,10.67
16.792,2814.2,81.455,10.667
16.802,2815,81.348,10.665
16.812,2815.8,81.242,10.662
16.822,2816.7,81.135,10.66
16.832,2817.5,81.029,10.658
16.842,2818.3,80.922,10.655
16.852,2819.1,80.816,10.653
16.862,2819.9,80.709,10.65
16.872,2820.7,80.603,10.648
16.882,2821.5,80.497,10.645
16.892,2822.3,80.39,10.643
16.902,2823.1,80.284,10.641
16.912,2823.9,80.178,10.638
16.922,2824.7,80.071,10.636
16.932,2825.5,79.965,10.634
16.942,2826.3,79.859,10.631
16.952,2827.1,79.753,10.629
16.962,2827.9,79.646,10.627
16.972,2828.7,79.54,10.624
16.982,2829.5,79.434,10.622
16.992,2830.3,79.328,10.62
17.002,2831.1,79.222,10.617
17.012,2831.9,79.116,10.615
17.022,2832.7,79.01,10.613
17.032,2833.4,78.904,10.611
17.042,2834.2,78.798,10.608
17.052,2835,78.692,10.606
17.062,2835.8,78.586,10.604
17.072,2836.6,78.48,10.602
17.082,2837.4,78.374,10.6
17.092,2838.2,78.268,10.598
17.102,2838.9,78.162,10.596
17.112,2839.7,78.056,10.594
17.122,2840.5,77.95,10.592
17.132,2841.3,77.844,10.589
17.142,2842.1,77.739,10.587
17.152,2842.8,77.633,10.585
17.162,2843.6,77.527,10.583
17.172,2844.4,77.421,10.581
17.182,2845.2,77.316,10.579
17.192,2845.9,77.21,10.577
17.202,2846.7,77.104,10.575
17.212,2847.5,76.999,10.573
17.222,2848.2,76.893,10.571
17.232,2849,76.787,10.569
17.242,2849.8,76.682,10.567
17.252,2850.5,76.576,10.565
17.262,2851.3,76.471,10.563
17.272,2852.1,76.365,10.561
17.282,2852.8,76.26,10.559
17.292,2853.6,76.154,10.557
17.302,2854.3,76.049,10.555
17.312,2855.1,75.943,10.552
17.322,2855.9,75.838,10.55
17.332,2856.6,75.732,10.548
17.342,2857.4,75.627,10.546
17.352,2858.1,75.522,10.544
17.362,2858.9,75.416,10.542
17.372,2859.6,75.311,10.54
17.382,2860.4,75.206,10.538
17.392,2861.1,75.101,10.536
17.402,2861.9,74.995,10.534
17.412,2862.6,74.89,10.531
17.422,2863.4,74.785,10.529
17.432,2864.1,74.68,10.527
17.442,2864.9,74.575,10.524
17.452,2865.6,74.47,10.522
17.462,2866.4,74.364,10.519
17.472,2867.1,74.259,10.517
17.482,2867.8,74.154,10.514
17.492,2868.6,74.049,10.511
17.502,2869.3,73.944,10.509
17.512,2870.1,73.839,10.507
17.522,2870.8,73.734,10.505
17.532,2871.5,73.629,10.503
17.542,2872.3,73.524,10.5
17.552,2873,73.42,10.498
17.562,2873.7,73.315,10.496
17.572,2874.5,73.21,10.495
17.582,2875.2,73.105,10.493
17.592,2875.9,73,10.491
17.602,2876.7,72.895,10.489
17.612,2877.4,72.791,10.487
17.622,2878.1,72.686,10.485
17.632,2878.8,72.581,10.483
17.642,2879.6,72.476,10.481
17.652,2880.3,72.372,10.479
17.662,2881,72.267,10.477
17.672,2881.7,72.162,10.475
17.682,2882.5,72.058,10.473
17.692,2883.2,71.953,10.471
17.702,2883.9,71.848,10.469
17.712,2884.6,71.744,10.467
17.722,2885.3,71.639,10.465
17.732,2886,71.535,10.463
17.742,2886.8,71.43,10.461
17.752,2887.5,71.326,10.459
17.762,2888.2,71.221,10.457
17.772,2888.9,71.117,10.454
17.782,2889.6,71.012,10.452
17.792,2890.3,70.908,10.45
17.802,2891,70.804,10.448
17.812,2891.7,70.699,10.446
17.822,2892.4,70.595,10.444
17.832,2893.1,70.491,10.442
17.842,2893.8,70.386,10.44
17.852,2894.5,70.282,10.438
17.862,2895.2,70.178,10.436
17.872,2895.9,70.074,10.434
17.882,2896.6,69.969,10.432
17.892,2897.3,69.865,10.43
17.902,2898,69.761,10.428
17.912,2898.7,69.657,10.426
17.922,2899.4,69.553,10.423
17.932,2900.1,69.449,10.421
17.942,2900.8,69.344,10.419
17.952,2901.5,69.24,10.416
17.962,2902.2,69.136,10.414
17.972,2902.9,69.032,10.412
17.982,2903.6,68.928,10.41
17.992,2904.3,68.824,10.408
18.002,2904.9,68.72,10.406
18.012,2905.6,68.616,10.404
18.022,2906.3,68.512,10.402
18.032,2907,68.408,10.4
18.042,2907.7,68.305,10.399
18.052,2908.4,68.201,10.397
18.062,2909,68.097,10.395
18.072,2909.7,67.993,10.393
18.082,2910.4,67.889,10.391
18.092,2911.1,67.785,10.389
18.102,2911.8,67.682,10.387
18.112,2912.4,67.578,10.385
18.122,2913.1,67.474,10.383
18.132,2913.8,67.37,10.381
18.142,2914.5,67.267,10.38
18.152,2915.1,67.163,10.378
18.162,2915.8,67.059,10.376
18.172,2916.5,66.956,10.374
18.182,2917.1,66.852,10.373
18.192,2917.8,66.748,10.371
18.202,2918.5,66.645,10.369
18.212,2919.1,66.541,10.367
18.222,2919.8,66.438,10.366
18.232,2920.5,66.334,10.364
18.242,2921.1,66.231,10.362
18.252,2921.8,66.127,10.36
18.262,2922.4,66.024,10.358
18.272,2923.1,65.92,10.356
18.282,2923.8,65.817,10.355
18.292,2924.4,65.713,10.353
18.302,2925.1,65.61,10.351
18.312,2925.7,65.506,10.349
18.322,2926.4,65.403,10.347
18.332,2927,65.3,10.345
18.342,2927.7,65.196,10.344
18.352,2928.3,65.093,10.342
18.362,2929,64.99,10.34
18.372,2929.6,64.886,10.339
18.382,2930.3,64.783,10.337
18.392,2930.9,64.68,10.336
18.402,2931.6,64.577,10.334
18.412,2932.2,64.473,10.333
18.422,2932.9,64.37,10.331
18.432,2933.5,64.267,10.329
18.442,2934.1,64.164,10.327
18.452,2934.8,64.061,10.326
18.462,2935.4,63.958,10.324
18.472,2936.1,63.855,10.322
18.482,2936.7,63.751,10.32
18.492,2937.3,63.648,10.319
18.502,2938,63.545,10.317
18.512,2938.6,63.442,10.315
18.522,2939.2,63.339,10.313
18.532,2939.9,63.236,10.311
18.542,2940.5,63.133,10.309
18.552,2941.1,63.03,10.308
18.562,2941.8,62.927,10.306
18.572,2942.4,62.824,10.304
18.582,2943,62.722,10.302
18.592,2943.6,62.619,10.301
18.602,2944.3,62.516,10.299
18.612,2944.9,62.413,10.297
18.622,2945.5,62.31,10.295
18.632,2946.1,62.207,10.293
18.642,2946.7,62.104,10.291
18.652,2947.4,62.002,10.29
18.662,2948,61.899,10.288
18.672,2948.6,61.796,10.287
18.682,2949.2,61.693,10.285
18.692,2949.8,61.591,10.284
18.702,2950.5,61.488,10.282
18.712,2951.1,61.385,10.281
18.722,2951.7,61.283,10.279
18.732,2952.3,61.18,10.277
18.742,2952.9,61.077,10.276
18.752,2953.5,60.975,10.274
18.762,2954.1,60.872,10.272
18.772,2954.7,60.77,10.27
18.782,2955.3,60.667,10.268
18.792,2955.9,60.565,10.267
18.802,2956.5,60.462,10.265
18.812,2957.1,60.359,10.263
18.822,2957.7,60.257,10.262
18.832,2958.3,60.155,10.261
18.842,2958.9,60.052,10.259
18.852,2959.5,59.95,10.258
18.862,2960.1,59.847,10.256
18.872,2960.7,59.745,10.255
18.882,2961.3,59.642,10.253
18.892,2961.9,59.54,10.252
18.902,2962.5,59.438,10.25
18.912,2963.1,59.335,10.249
18.922,2963.7,59.233,10.247
18.932,2964.3,59.131,10.245
18.942,2964.9,59.028,10.243
18.952,2965.5,58.926,10.242
18.962,2966.1,58.824,10.24
18.972,2966.7,58.722,10.238
18.982,2967.2,58.619,10.237
18.992,2967.8,58.517,10.235
19.002,2968.4,58.415,10.233
19.012,2969,58.313,10.232
19.022,2969.6,58.21,10.23
19.032,2970.2,58.108,10.228
19.042,2970.7,58.006,10.227
19.052,2971.3,57.904,10.225
19.062,2971.9,57.802,10.224
19.072,2972.5,57.7,10.222
19.082,2973,57.598,10.221
19.092,2973.6,57.496,10.219
19.102,2974.2,57.394,10.218
19.112,2974.8,57.292,10.216
19.122,2975.3,57.19,10.215
19.132,2975.9,57.088,10.214
19.142,2976.5,56.986,10.212
19.152,2977,56.884,10.211
19.162,2977.6,56.782,10.209
19.172,2978.2,56.68,10.208
19.182,2978.7,56.578,10.206
19.192,2979.3,56.476,10.205
19.202,2979.9,56.374,10.204
19.212,2980.4,56.272,10.202
19.222,2981,56.17,10.2
19.232,2981.5,56.068,10.199
19.242,2982.1,55.967,10.197
19.252,2982.7,55.865,10.196
19.262,2983.2,55.763,10.195
19.272,2983.8,55.661,10.193
19.282,2984.3,55.559,10.192
19.292,2984.9,55.458,10.19
19.302,2985.4,55.356,10.189
19.312,2986,55.254,10.188
19.322,2986.5,55.152,10.186
19.332,2987.1,55.051,10.185
19.342,2987.6,54.949,10.183
19.352,2988.2,54.847,10.182
19.362,2988.7,54.746,10.181
19.372,2989.3,54.644,10.18
19.382,2989.8,54.542,10.178
19.392,2990.4,54.441,10.177
19.402,2990.9,54.339,10.176
19.412,2991.5,54.238,10.175
19.422,2992,54.136,10.174
19.432,2992.5,54.034,10.173
19.442,2993.1,53.933,10.172
19.452,2993.6,53.831,10.17
19.462,2994.2,53.73,10.169
19.472,2994.7,53.628,10.167
19.482,2995.2,53.527,10.166
19.492,2995.8,53.425,10.164
19.502,2996.3,53.324,10.163
19.512,2996.8,53.222,10.161
19.522,2997.4,53.121,10.159
19.532,2997.9,53.02,10.158
19.542,2998.4,52.918,10.156
19.552,2998.9,52.817,10.155
19.562,2999.5,52.715,10.153
19.572,3e3,52.614,10.152
19.582,3000.5,52.513,10.15
19.592,3001,52.411,10.149
19.602,3001.6,52.31,10.147
19.612,3002.1,52.209,10.146
19.622,3002.6,52.108,10.145
19.632,3003.1,52.006,10.144
19.642,3003.6,51.905,10.143
19.652,3004.2,51.804,10.141
19.662,3004.7,51.703,10.14
19.672,3005.2,51.601,10.138
19.682,3005.7,51.5,10.137
19.692,3006.2,51.399,10.136
19.702,3006.7,51.298,10.134
19.712,3007.2,51.197,10.133
19.722,3007.8,51.095,10.132
19.732,3008.3,50.994,10.13
19.742,3008.8,50.893,10.129
19.752,3009.3,50.792,10.128
19.762,3009.8,50.691,10.127
19.772,3010.3,50.59,10.125
19.782,3010.8,50.489,10.124
19.792,3011.3,50.388,10.123
19.802,3011.8,50.287,10.122
19.812,3012.3,50.186,10.12
19.822,3012.8,50.085,10.119
19.832,3013.3,49.984,10.117
19.842,3013.8,49.883,10.116
19.852,3014.3,49.782,10.115
19.862,3014.8,49.681,10.113
19.872,3015.3,49.58,10.112
19.882,3015.8,49.479,10.111
19.892,3016.3,49.378,10.11
19.902,3016.8,49.277,10.108
19.912,3017.3,49.176,10.107
19.922,3017.7,49.075,10.106
19.932,3018.2,48.975,10.105
19.942,3018.7,48.874,10.104
19.952,3019.2,48.773,10.103
19.962,3019.7,48.672,10.101
19.972,3020.2,48.571,10.1
19.982,3020.7,48.47,10.099
19.992,3021.1,48.37,10.097
20.002,3021.6,48.269,10.096
20.012,3022.1,48.168,10.095
20.022,3022.6,48.067,10.094
20.032,3023.1,47.967,10.093
20.042,3023.5,47.866,10.092
20.052,3024,47.765,10.091
20.062,3024.5,47.664,10.09
20.072,3025,47.564,10.089
20.082,3025.4,47.463,10.087
20.092,3025.9,47.362,10.086
20.102,3026.4,47.262,10.085
20.112,3026.9,47.161,10.084
20.122,3027.3,47.061,10.083
20.132,3027.8,46.96,10.082
20.142,3028.3,46.859,10.081
20.152,3028.7,46.759,10.08
20.162,3029.2,46.658,10.079
20.172,3029.7,46.558,10.078
20.182,3030.1,46.457,10.077
20.192,3030.6,46.357,10.076
20.202,3031.1,46.256,10.075
20.212,3031.5,46.156,10.074
20.222,3032,46.055,10.072
20.232,3032.4,45.955,10.071
20.242,3032.9,45.854,10.07
20.252,3033.4,45.754,10.068
20.262,3033.8,45.653,10.067
20.272,3034.3,45.553,10.066
20.282,3034.7,45.452,10.064
20.292,3035.2,45.352,10.063
20.302,3035.6,45.252,10.062
20.312,3036.1,45.151,10.06
20.322,3036.5,45.051,10.059
20.332,3037,44.951,10.058
20.342,3037.4,44.85,10.057
20.352,3037.9,44.75,10.055
20.362,3038.3,44.65,10.054
20.372,3038.8,44.549,10.053
20.382,3039.2,44.449,10.052
20.392,3039.6,44.349,10.051
20.402,3040.1,44.249,10.05
20.412,3040.5,44.148,10.049
20.422,3041,44.048,10.048
20.432,3041.4,43.948,10.047
20.442,3041.8,43.848,10.046
20.452,3042.3,43.747,10.045
20.462,3042.7,43.647,10.044
20.472,3043.1,43.547,10.043
20.482,3043.6,43.447,10.042
20.492,3044,43.347,10.041
20.502,3044.4,43.247,10.04
20.512,3044.9,43.146,10.039
20.522,3045.3,43.046,10.037
20.532,3045.7,42.946,10.036
20.542,3046.2,42.846,10.035
20.552,3046.6,42.746,10.033
20.562,3047,42.646,10.032
20.572,3047.4,42.546,10.031
20.582,3047.9,42.446,10.03
20.592,3048.3,42.346,10.028
20.602,3048.7,42.246,10.027
20.612,3049.1,42.146,10.026
20.622,3049.5,42.046,10.025
20.632,3050,41.946,10.024
20.642,3050.4,41.846,10.023
20.652,3050.8,41.746,10.022
20.662,3051.2,41.646,10.021
20.672,3051.6,41.546,10.02
20.682,3052,41.446,10.019
20.692,3052.5,41.346,10.018
20.702,3052.9,41.246,10.017
20.712,3053.3,41.147,10.016
20.722,3053.7,41.047,10.015
20.732,3054.1,40.947,10.014
20.742,3054.5,40.847,10.013
20.752,3054.9,40.747,10.012
20.762,3055.3,40.647,10.011
20.772,3055.7,40.547,10.01
20.782,3056.1,40.448,10.009
20.792,3056.5,40.348,10.008
20.802,3056.9,40.248,10.007
20.812,3057.3,40.148,10.007
20.822,3057.7,40.049,10.006
20.832,3058.1,39.949,10.005
20.842,3058.5,39.849,10.005
20.852,3058.9,39.749,10.004
20.862,3059.3,39.65,10.003
20.872,3059.7,39.55,10.002
20.882,3060.1,39.45,10.001
20.892,3060.5,39.351,9.9994
20.902,3060.9,39.251,9.9983
20.912,3061.3,39.151,9.9973
20.922,3061.7,39.052,9.9963
20.932,3062.1,38.952,9.9953
20.942,3062.4,38.852,9.9943
20.952,3062.8,38.753,9.9933
20.962,3063.2,38.653,9.9926
20.972,3063.6,38.554,9.9919
20.982,3064,38.454,9.9913
20.992,3064.4,38.355,9.9906
21.002,3064.8,38.255,9.9898
21.012,3065.1,38.155,9.9888
21.022,3065.5,38.056,9.9878
21.032,3065.9,37.956,9.9868
21.042,3066.3,37.857,9.9858
21.052,3066.6,37.757,9.9849
21.062,3067,37.658,9.9841
21.072,3067.4,37.558,9.9834
21.082,3067.8,37.459,9.9826
21.092,3068.1,37.36,9.9819
21.102,3068.5,37.26,9.9811
21.112,3068.9,37.161,9.9802
21.122,3069.3,37.061,9.9792
21.132,3069.6,36.962,9.9783
21.142,3070,36.862,9.9774
21.152,3070.4,36.763,9.9765
21.162,3070.7,36.664,9.9759
21.172,3071.1,36.564,9.9752
21.182,3071.5,36.465,9.9746
21.192,3071.8,36.366,9.974
21.202,3072.2,36.266,9.9732
21.212,3072.5,36.167,9.9718
21.222,3072.9,36.068,9.9705
21.232,3073.3,35.968,9.9691
21.242,3073.6,35.869,9.9678
21.252,3074,35.77,9.9665
21.262,3074.3,35.671,9.9657
21.272,3074.7,35.571,9.9649
21.282,3075,35.472,9.9641
21.292,3075.4,35.373,9.9632
21.302,3075.7,35.274,9.9624
21.312,3076.1,35.175,9.9615
21.322,3076.4,35.075,9.9605
21.332,3076.8,34.976,9.9596
21.342,3077.1,34.877,9.9587
21.352,3077.5,34.778,9.9578
21.362,3077.8,34.679,9.9569
21.372,3078.2,34.58,9.9561
21.382,3078.5,34.48,9.9552
21.392,3078.9,34.381,9.9544
21.402,3079.2,34.282,9.9534
21.412,3079.5,34.183,9.9524
21.422,3079.9,34.084,9.9513
21.432,3080.2,33.985,9.9502
21.442,3080.6,33.886,9.9491
21.452,3080.9,33.787,9.9481
21.462,3081.2,33.688,9.9474
21.472,3081.6,33.589,9.9468
21.482,3081.9,33.49,9.9461
21.492,3082.2,33.391,9.9454
21.502,3082.6,33.292,9.9447
21.512,3082.9,33.193,9.9437
21.522,3083.2,33.094,9.9428
21.532,3083.6,32.995,9.9418
21.542,3083.9,32.896,9.9409
21.552,3084.2,32.797,9.9399
21.562,3084.5,32.698,9.939
21.572,3084.9,32.599,9.938
21.582,3085.2,32.501,9.9371
21.592,3085.5,32.402,9.9361
21.602,3085.8,32.303,9.9352
21.612,3086.1,32.204,9.9343
21.622,3086.5,32.105,9.9334
21.632,3086.8,32.006,9.9325
21.642,3087.1,31.907,9.9316
21.652,3087.4,31.809,9.9307
21.662,3087.7,31.71,9.93
21.672,3088.1,31.611,9.9292
21.682,3088.4,31.512,9.9285
21.692,3088.7,31.414,9.9278
21.702,3089,31.315,9.927
21.712,3089.3,31.216,9.9261
21.722,3089.6,31.117,9.9252
21.732,3089.9,31.019,9.9243
21.742,3090.2,30.92,9.9234
21.752,3090.5,30.821,9.9225
21.762,3090.8,30.723,9.9217
21.772,3091.1,30.624,9.921
21.782,3091.4,30.525,9.9203
21.792,3091.8,30.427,9.9195
21.802,3092.1,30.328,9.9187
21.812,3092.4,30.229,9.9178
21.822,3092.7,30.131,9.9169
21.832,3093,30.032,9.916
21.842,3093.3,29.934,9.9151
21.852,3093.5,29.835,9.9142
21.862,3093.8,29.736,9.9133
21.872,3094.1,29.638,9.9124
21.882,3094.4,29.539,9.9115
21.892,3094.7,29.441,9.9106
21.902,3095,29.342,9.9097
21.912,3095.3,29.244,9.9089
21.922,3095.6,29.145,9.9081
21.932,3095.9,29.047,9.9073
21.942,3096.2,28.948,9.9065
21.952,3096.5,28.85,9.9057
21.962,3096.8,28.751,9.9048
21.972,3097,28.653,9.9039
21.982,3097.3,28.555,9.903
21.992,3097.6,28.456,9.9021
22.002,3097.9,28.358,9.9013
22.012,3098.2,28.259,9.9004
22.022,3098.4,28.161,9.8995
22.032,3098.7,28.063,9.8987
22.042,3099,27.964,9.8978
22.052,3099.3,27.866,9.897
22.062,3099.6,27.768,9.8963
22.072,3099.8,27.669,9.8956
22.082,3100.1,27.571,9.895
22.092,3100.4,27.473,9.8943
22.102,3100.7,27.375,9.8936
22.112,3100.9,27.276,9.8928
22.122,3101.2,27.178,9.8919
22.132,3101.5,27.08,9.8911
22.142,3101.7,26.982,9.8903
22.152,3102,26.883,9.8895
22.162,3102.3,26.785,9.8886
22.172,3102.5,26.687,9.8877
22.182,3102.8,26.589,9.8869
22.192,3103.1,26.491,9.886
22.202,3103.3,26.392,9.8852
22.212,3103.6,26.294,9.8845
22.222,3103.8,26.196,9.8838
22.232,3104.1,26.098,9.8831
22.242,3104.4,26,9.8824
22.252,3104.6,25.902,9.8818
22.262,3104.9,25.804,9.8811
22.272,3105.1,25.706,9.8804
22.282,3105.4,25.608,9.8798
22.292,3105.6,25.51,9.8791
22.302,3105.9,25.412,9.8785
22.312,3106.1,25.314,9.8779
22.322,3106.4,25.216,9.8773
22.332,3106.6,25.118,9.8767
22.342,3106.9,25.02,9.8761
22.352,3107.1,24.922,9.8755
22.362,3107.4,24.824,9.8748
22.372,3107.6,24.726,9.8741
22.382,3107.9,24.628,9.8734
22.392,3108.1,24.53,9.8726
22.402,3108.4,24.432,9.8719
22.412,3108.6,24.334,9.8713
22.422,3108.8,24.236,9.8707
22.432,3109.1,24.138,9.8701
22.442,3109.3,24.04,9.8695
22.452,3109.6,23.943,9.8689
22.462,3109.8,23.845,9.8684
22.472,3110,23.747,9.8679
22.482,3110.3,23.649,9.8675
22.492,3110.5,23.551,9.867
22.502,3110.7,23.454,9.8665
22.512,3111,23.356,9.8659
22.522,3111.2,23.258,9.8653
22.532,3111.4,23.16,9.8647
